"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"TheShy","Invictus Gaming","Top",17,"65%","41%",59,57,143,3.5,"60.7%","17.7%","20.9%",,,,,7.3,,740,"24.1%",,,247,"20.1%",,0.33,0.1,0.13
"Tian","Weibo Gaming","Jungle",24,"42%","46%",87,83,174,3.1,"76.5%","25.5%","24.0%",,,,,6.8,,443,"16.3%",,,246,"21.3%",,0.33,0.27,0.42
"Vampire","Team WE","Support",28,"39%","57%",23,114,294,2.8,"84.1%","6.1%","25.3%",,,,,1,,226,"8.7%",,,118,"10.2%",,1.94,0.58,0.41
"Wei","Invictus Gaming","Jungle",17,"65%","41%",58,65,180,3.7,"71.5%","17.4%","23.8%",,,,,6,,447,"14.3%",,,236,"19.3%",,0.38,0.34,0.41
"Wink","JD Gaming","Support",16,"31%","44%",4,63,124,2,"76.2%","2.4%","24.0%",,,,,1,,151,"6.5%",,,99,"9.1%",,2.03,0.6,0.33
"xiaofang","LNG Esports","Jungle",17,"29%","53%",60,62,108,2.7,"77.8%","27.8%","21.5%",,,,,6.6,,409,"16.6%",,,240,"21.1%",,0.31,0.27,0.34
"Xiaohao","EDward Gaming","Jungle",16,"81%","56%",72,26,138,8.1,"75.5%","25.9%","15.9%",,,,,7.2,,428,"16.0%",,,275,"21.2%",,0.35,0.28,0.41
"Xiaohu","Weibo Gaming","Middle",24,"42%","33%",83,55,176,4.7,"76.0%","24.3%","15.9%",,,,,8,,769,"28.3%",,,261,"22.4%",,0.34,0.15,0.27
"Xiaoxia","Ultra Prime","Support",19,"37%","58%",5,62,163,2.7,"81.6%","2.4%","23.2%",,,,,0.9,,138,"6.0%",,,100,"8.8%",,2.04,0.5,0.32
"Xiaoxu","JD Gaming","Top",21,"38%","43%",49,65,105,2.4,"63.4%","20.2%","20.4%",,,,,7.9,,477,"19.7%",,,247,"22.3%",,0.44,0.13,0.13
"xqw","LGD Gaming","Middle",17,"41%","35%",45,60,101,2.4,"68.9%","21.2%","20.9%",,,,,8.2,,611,"25.9%",,,258,"22.1%",,0.34,0.14,0.26
"Xun","JD Gaming","Jungle",21,"38%","43%",53,64,134,2.9,"77.0%","21.8%","20.1%",,,,,6.4,,371,"15.6%",,,217,"19.8%",,0.28,0.24,0.3
"Ycx","LGD Gaming","Support",17,"41%","71%",12,73,159,2.3,"80.7%","5.7%","25.4%",,,,,1.2,,161,"6.8%",,,113,"9.8%",,1.74,0.51,0.52
"Zdz","EDward Gaming","Top",16,"81%","81%",53,29,111,5.7,"59.0%","19.1%","17.7%",,,,,8.7,,592,"22.0%",,,286,"22.0%",,0.42,0.17,0.23
"Zhuo","LNG Esports","Support",12,"17%","25%",5,43,92,2.3,"79.5%","4.1%","20.4%",,,,,1.3,,180,"7.9%",,,97,"9.0%",,2.1,0.55,0.56
"Zhuo","JD Gaming","Support",5,"60%","80%",1,12,55,4.7,"74.7%","1.3%","21.4%",,,,,1.1,,159,"6.4%",,,108,"8.9%",,2.11,0.57,0.43
"Zika","LNG Esports","Top",17,"29%","59%",47,42,92,3.3,"64.4%","21.8%","14.6%",,,,,8.3,,612,"24.9%",,,262,"23.7%",,0.33,0.16,0.19
